PointOfSale;Product;Date;Stock
132062;1913130080003M;2019-06-10;1
132062;1913130080003M;2019-06-11;1
132062;1913130080003M;2019-06-12;1
132062;1913130080003M;2019-06-13;1
132062;1913130080003M;2019-06-14;1
132062;1913130080003M;2019-06-15;1
132062;1913130080003M;2019-06-16;1
132062;1913130080003M;2019-06-17;1
132062;1913130080003M;2019-06-18;1
132062;1913130080003M;2019-06-19;1
132062;1913130080003M;2019-06-20;1
132062;1913130080003M;2019-06-21;1
132062;1913130080003M;2019-06-22;1
132062;1913130080003M;2019-06-23;1
132062;1913130080003M;2019-06-24;1
132062;1913130080003M;2019-06-25;1
132062;1913130080003M;2019-06-26;1
132062;1913130080003M;2019-06-27;1
132062;1913130080003P;2019-07-03;1
132062;1913130080003P;2019-07-27;1
132062;1913130080003P;2019-07-28;1
132062;1913130080003P;2019-07-29;1
132062;1913130080003P;2019-07-30;1
132062;1913130080003P;2019-07-31;1
